SCOPUSIDPUB,TIPOPUB,FECHA,CITAS,TITULO,SOURCE,ISSN,DOCUMENTTYPE,AUTORES
85019071336,,2018-01-01,,Computational Thinking in pre-university Blended Learning classrooms,Computers in Human Behavior,07475632,Article,"Basogain X., Olabe M.Á., Olabe J.C., Rico M.J."
85029449805,,2018-01-01,,Using robotics to foster creativity in early gifted education,Advances in Intelligent Systems and Computing,21945357,Conference Paper,"Jagust T., Cvetkovic-Lay J., Krzic A.S., Sersic D."
85032633321,,2018-01-01,1,A proposed what-why-how (WWH) learning model for students and strengthening learning skills through computational thinking,Advances in Intelligent Systems and Computing,21945357,Conference Paper,"Mohanty R., Bala Das S."
85027543543,,2017-01-01,,The effects of teaching programming with scratch on pre-service information technology teachers' motivation and achievement,Computers in Human Behavior,07475632,Article,"Erol O., Kurt A.A."
85027845103,,2017-01-01,1,Towards emotion recognition for virtual environments: an evaluation of eeg features on benchmark dataset,Personal and Ubiquitous Computing,16174909,Article,"Menezes M.L.R., Samara A., Galway L., Sant’Anna A., Verikas A., Alonso-Fernandez F., Wang H., Bond R."
85018350143,,2017-01-01,,Exploiting Energy Efficient Emotion-Aware Mobile Computing,Mobile Networks and Applications,1383469X,Article,"Peng Y., Peng L., Zhou P., Yang J., Rahman S.M.M., Almogren A."
85035320178,,2017-01-01,,Authors’ response on posing|solving research,Constructivist Foundations,1782348X,Note,"Proulx J., Maheux J.-F."
84978251006,,2017-01-01,5,Relation between Alice software and programming learning: A systematic review of the literature and meta-analysis,British Journal of Educational Technology,00071013,Article,"Costa J.M., Miranda G.L."
85034633425,,2017-01-01,,Bilingual SpeechBlocks: Investigating how bilingual children tinker with words in english and Spanish,CHI PLAY 2017 - Proceedings of the Annual Symposium on Computer-Human Interaction in Play,00000000,Conference Paper,"Nazare J., Hershman A., Sysoev I., Roy D."
85035308793,,2017-01-01,,Le calcul mental en mathématiques : quels potentiels pour l'activité mathématique?,"Canadian Journal of Science, Mathematics and Technology Education",14926156,Article,Proulx J.
85026454177,,2017-01-01,,Introducing Computational Thinking to Young Learners: Practicing Computational Perspectives Through Embodiment in Mathematics Education,"Technology, Knowledge and Learning",22111662,Article,"Sung W., Ahn J., Black J.B."
85026292593,,2017-01-01,,Designing for learning by creating,International Journal of Child-Computer Interaction,22128689,Article,Brennan K.
85026225019,,2017-01-01,,The Seymour test: Powerful ideas in early childhood education,International Journal of Child-Computer Interaction,22128689,Article,Bers M.U.
84976439898,,2017-01-01,,Decision theoretic modeling of affective and cognitive needs for product experience engineering: key issues and a conceptual framework,Journal of Intelligent Manufacturing,09565515,Article,"Jiao R.J., Zhou F., Chu C.-H."
85030773893,,2017-01-01,,MazeStar: A platform for studying virtual identity and computer science education,ACM International Conference Proceeding Series,00000000,Conference Paper,"Kao D., Harrell D.F."
85030152140,,2017-01-01,3,Conceptions and misconceptions about computational thinking among Italian primary school teachers,ICER 2017 - Proceedings of the 2017 ACM Conference on International Computing Education Research,00000000,Conference Paper,"Corradini I., Lodi M., Nardelli E."
85034424709,,2017-01-01,,An empirical study on blended learning to promote the development of computational thinking ability of college students,"Proceedings - 2017 International Symposium on Educational Technology, ISET 2017",00000000,Conference Paper,"Liao L., Liang J."
85029945546,,2017-01-01,,How design involvement impacts Deaf children,"International Conference on Research and Innovation in Information Systems, ICRIIS",23248149,Conference Paper,"Korte J., Potter L.E., Nielsen S."
85030259317,,2017-01-01,,Design Thinking in App Inventor Game Design and Development: A Case Study,"Proceedings - IEEE 17th International Conference on Advanced Learning Technologies, ICALT 2017",00000000,Conference Paper,"Chen P., Huang R."
85027116504,,2017-01-01,,A survey on mobile affective computing,Computer Science Review,15740137,Review,"Politou E., Alepis E., Patsakis C."
84982266836,,2017-01-01,,Using ‘big ideas’ to enhance teaching and student learning,Teachers and Teaching: Theory and Practice,13540602,Article,"Mitchell I., Keast S., Panizzon D., Mitchell J."
85026313452,,2017-01-01,,Digital fabrication as a tool for teaching high-school students STEM at the University,IDC 2017 - Proceedings of the 2017 ACM Conference on Interaction Design and Children,00000000,Conference Paper,Lorenzo C.
85026304544,,2017-01-01,,"The Sound labyrinth: Computers, constructionism and language learning",IDC 2017 - Proceedings of the 2017 ACM Conference on Interaction Design and Children,00000000,Conference Paper,Matos S.
85027523281,,2017-01-01,,Learners' perception of engagement in online learning,"Student Engagement and Participation: Concepts, Methodologies, Tools, and Applications",00000000,Book Chapter,Chakraborty M.
85022082326,,2017-01-01,,Emotion-aware computing using smartphone,"2017 9th International Conference on Communication Systems and Networks, COMSNETS 2017",00000000,Conference Paper,Ghosh S.
85020132884,,2017-01-01,1,Remaining trouble spots with computational thinking,Communications of the ACM,00010782,Note,Denning P.J.
85035044885,,2017-01-01,,Evaluareed: Development of an online educational resources assessment instrument [Evaluareed: Desarrollo de una herramienta para la evaluación de la calidad de los recursos educativos electrónicos],Investigacion Bibliotecologica,0187358X,Article,"Pinto M., Gómez-Camarero C., Fernández-Ramos A., Doucet A.-V."
85027054261,,2017-01-01,,Teaching programming in secondary education through embodied computing platforms: Robotics and wearables,ACM Transactions on Computing Education,19466226,Article,"Merkouris A., Chorianopoulos K., Kameas A."
85012113227,,2017-01-01,,Augmenting research cooperation in production engineering with data analytics,Production Engineering,09446524,Article,"Thiele T., Valdez A.C., Stiehm S., Richert A., Ziefle M., Jeschke S."
85016449197,,2017-01-01,,Students' emotional self-labels for personalized models,ACM International Conference Proceeding Series,00000000,Conference Paper,"Aslan S., Okur E., Alyuz N., Mete S.E., Oktay E., Genc U., Esme A.A."
85018295486,,2017-01-01,2,Using upper-elementary student performance to understand conceptual sequencing in a blocks-based curriculum,"Proceedings of the Conference on Integrating Technology into Computer Science Education, ITiCSE",00000000,Conference Paper,"Franklin D., Skifstad G., Rolock R., Mehrotra I., Ding V., Hansen A., Weintrop D., Harlow D."
84977124950,,2017-01-01,,Analysis of Factors Affecting Achievement in Maker Programming Education in the Age of Wireless Communication,Wireless Personal Communications,09296212,Article,"Lee S.J., Kim J.M., Lee W.G."
84962726745,,2017-01-01,2,Computing in the curriculum: Challenges and strategies from a teacher’s perspective,Education and Information Technologies,13602357,Article,"Sentance S., Csizmadia A."
84964413903,,2017-01-01,2,"Computer science in K-12 school curricula of the 2lst century: Why, what and when?",Education and Information Technologies,13602357,Article,"Webb M., Davis N., Bell T., Katz Y., Reynolds N., Chambers D.P., Sys?o M.M."
85001123251,,2017-01-01,2,"All Roads Lead to Computing: Making, Participatory Simulations, and Social Computing as Pathways to Computer Science",IEEE Transactions on Education,00189359,Article,"Brady C., Orton K., Weintrop D., Anton G., Rodriguez S., Wilensky U."
